CookerStat, GenerateAssetRegistry=0.038113, Initialize=0.207786, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
SavePackageTransactionId6926A1B94B9B66A5F9ECFBB780ADC039_1, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/TempAssets/Scene.uasset, AutoPackageBackupDelegate=6.065175, FlushAsyncLoading=0.013936, FlushStreamingFunc=0.091393, BlockTillAllRequestsFinished=0.006147, ResetLoadersForSaveUnMarkAllObjects=5.621731, TagPackageExports=0.033196, BeginCacheForCookedPlatformData=0.001639, SerializeImports=0.794675, GatherLocalizableTextData=0.374999, MarkNames=0.009425, SerializeSummary=0.014756, SerializeNames=0.079919, SerializeGatherableTextData=0.001639, BuildExportMap=0.072539, SortExportsNonSeekfree=0.031970, SortExportsSeekfreeConstructor=0.034835, SortExportsSeekfreeInner=0.988934, SortExportsSeekfree=0.004098, BuildDependencyMap=0.013527, SerializeImportMap=0.009838, SerializeExportMap=0.006147, SerializeDependencyMap=0.002868, SerializeStringAssetReferenceMap=0.002462, SaveThumbNailsAssetRegistryDataWorldLevelInfo=11.184033, SerializeExports=0.296723, SerializeBulkData=0.129096, MoveFile=5.475417, UnaccountedTime=1.736481, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId8723B01E467C6059FACA4C88DE403C84_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B2BAD1C843BAFB8D59B7B899E2C59FC__1394AEE08A6D6603F65A5A7E393732BD34A460D6, StartTime=2016.04.06-16.07.15, HierarchicalDDC=, DataSize=97582, Duration=7.481977, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1EAC3E7E485D784B288091B01F2A1C4__5B0F70FB06B92BC2DC6390A83ADBDB184BBCC23F, StartTime=2016.04.06-16.07.17, HierarchicalDDC=, DataSize=97582, Duration=9.070918, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_40BD1FD54E35188DFE4D07B70CFC04B__6715A2AEC13485E0F362A6B8CCE8F37AE1AD3FDA, StartTime=2016.04.06-16.07.19, HierarchicalDDC=, DataSize=98326, Duration=12.713544, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_506E8B5D429F841A72145FA418B5D37__D3CFE7E7E86D5350E47B3E1B235C5AA2E1CD424D, StartTime=2016.04.06-16.07.21, HierarchicalDDC=, DataSize=98822, Duration=13.622563, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
SavePackageTransactionId6926A1B94B9B66A5F9ECFBB780ADC039_2, Filename=../../../../../../Users/Alvin/Documents/Unreal Projects/FYP 4.11/Content/FirstPersonBP/Maps/FirstPersonExampleMap.umap, AutoPackageBackupDelegate=13.937727, FlushAsyncLoading=0.016395, FlushStreamingFunc=0.177868, BlockTillAllRequestsFinished=0.009838, ResetLoadersForSaveUnMarkAllObjects=56.766483, TagPackageExports=7.752474, BeginCacheForCookedPlatformData=0.005737, SerializeImports=9.380341, GatherLocalizableTextData=71.176758, MarkNames=0.554100, SerializeSummary=0.027049, SerializeNames=0.867214, SerializeGatherableTextData=0.021722, BuildExportMap=0.706971, SortExportsNonSeekfree=7.071320, SortExportsSeekfreeConstructor=0.112705, SortExportsSeekfreeInner=24.088976, SortExportsSeekfree=0.008196, BuildDependencyMap=0.364754, SerializeImportMap=0.065163, SerializeExportMap=0.141393, SerializeDependencyMap=0.033196, SerializeStringAssetReferenceMap=0.002872, SaveThumbNailsAssetRegistryDataWorldLevelInfo=3.446724, SerializeExports=27.692669, SerializeBulkData=421.724457, MoveFile=5.360663, UnaccountedTime=1.663119, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId2FF5255B4E7CC7C9AF4DABAD430DEDF9_3, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_B50E4695F0D6DE833E407A74383BDE5E, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.143442, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId8723B01E467C6059FACA4C88DE403C84_5, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_8C7DA5C24247A995E48E178132F5C68A, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.120495, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_7, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_AD36B45829E39DD353039CF8136B8437, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.111066, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId2FF5255B4E7CC7C9AF4DABAD430DEDF9_4, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_E62E1A1D40B844BDE8D900A5C81D9822, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.089344, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId8723B01E467C6059FACA4C88DE403C84_6, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_DA8D1B04702239A26C2D2F4112E65F2A, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.105739, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_8, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_8E569FC7444D94202AD0769E1DFA75F0, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.079505, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId2FF5255B4E7CC7C9AF4DABAD430DEDF9_5, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_3BD01A17BD18A73F7C8952D0E2FBC98A, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.063524, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId8723B01E467C6059FACA4C88DE403C84_7, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_3EE0F4F4437C4A0A1C939C9A9603E622, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.080328, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_9, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_189773FBC13A80A1126F1B4613E2C134, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.060245, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId2FF5255B4E7CC7C9AF4DABAD430DEDF9_6, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_65CC4F5146E84EB88181DCBA1AFB8C0B, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.383608, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_10, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_75FC1442CBA6DEC547289FA673563350, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.054099, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId8723B01E467C6059FACA4C88DE403C84_8, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_7A7ADFAC4A7A9029813787922D7D9B6B, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.247132, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_11, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_947368C3EFA50562439805D077F548C9, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.057377, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId2FF5255B4E7CC7C9AF4DABAD430DEDF9_7, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_B14803A943CEE45F75A976AC2905AFAF, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.088524, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId7AD79AD14EF5219832B65FA381FA0888_12, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_8498754C35B76A023426A4493F519BAA, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.095904, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId8723B01E467C6059FACA4C88DE403C84_9, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_202129994BC277436BFE11A6C37FD7C7, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.076231, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
DDCTransactionId2FF5255B4E7CC7C9AF4DABAD430DEDF9_8, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_0F2E7F2C635471AB12A48F00CF8F92E1, StartTime=2016.04.06-16.07.25, HierarchicalDDC=, DataSize=16486, Duration=0.100408, RunGuid=RunIDCACA9CCE41FCB58C759044A940CCFD21
