CookerStat, GenerateAssetRegistry=0.028688, Initialize=0.153277, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId1B1C9B294D52C06AC67F10BE514D25B9_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_295B90D14CDC6463CE5A52A2CEC57A2__1926C0195D90D31C73C2415B24E9CB7611B06DA2, StartTime=2016.06.01-03.10.22, HierarchicalDDC=, DataSize=19595, Duration=4.059442, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId41E8C19E43A135C5ECE76DAB03019562_5, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_55__005DE027FB5054598844467234F7C5751D5469E0, StartTime=2016.06.01-03.10.22, HierarchicalDDC=, DataSize=72773, Duration=6.772973, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionIdD729C11543978853B2936381067C9C18_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_664389A745089634F1344BAD07E457D__F801972F0F4688EED5E795D71C5F3AE3D7859F70, StartTime=2016.06.01-03.10.22, HierarchicalDDC=, DataSize=21821, Duration=5.089361, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId1B1C9B294D52C06AC67F10BE514D25B9_6, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_55__28F8DD5FE5BB36F195EE86F23B09AEC8C2E5403A, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=70121, Duration=6.220922, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionIdD729C11543978853B2936381067C9C18_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_81E17DF9451CFF2BB2490591A176E5D__3DE51CEE99597034556581088FD79A6F068028D7, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=21821, Duration=4.759442, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId41E8C19E43A135C5ECE76DAB03019562_6, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_00A792474FD33BA1E__8C370680A81D8E10BFC39EE273BBC34C92990786, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=3101, Duration=5.759034, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId1B1C9B294D52C06AC67F10BE514D25B9_7, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_11__974520679E09755A12F023F247D9579F13F4F0B1, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=13789, Duration=3.890589, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionIdD729C11543978853B2936381067C9C18_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D3BA2B4D4D09AFC2BBEF2AACCBE38BF__5A49F9B9AA64910FFB519197C32FFAD548BA05B3, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=4055, Duration=3.594685, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId41E8C19E43A135C5ECE76DAB03019562_7, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_11__73571B240596E414CFF93B91F7F06B86F699F3C6, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=13789, Duration=4.984442, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId1B1C9B294D52C06AC67F10BE514D25B9_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F3D4864D41BE8EE15EB5EF839FD949F__AB2C0D952FD6E9FF55F46CC0B3C6874B5AEB1BD7, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=8581, Duration=6.379940, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionId41E8C19E43A135C5ECE76DAB03019562_8, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_131A4A504C46BACB6__984373E86D1C8CD93D793084D499309A09D1AEAC, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=645, Duration=3.845915, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
DDCTransactionIdD729C11543978853B2936381067C9C18_8, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_F2__5104FA5F56CD0FB6BC0345B83A07BDA91CFA1B61, StartTime=2016.06.01-03.10.24, HierarchicalDDC=, DataSize=2429, Duration=3.999196, RunGuid=RunID91778BFD4738AB02AC347999B09DF07F
