CookerStat, GenerateAssetRegistry=0.040166, Initialize=0.205327, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
MaterialTransactionId22BD028A4392AA86B548A69C0F7D2922_0, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_PCD3D_SM5_5__BC5N_DEV_SL_NoDBuf_EARLYZ3715CFC0F4B4CE3ACD59FDA99560423CA_Num_SM5__0___TTranslucentLightingInjectPSLightType_DirectionalfalsefalsefalseB9509843F62EEE75BB94BBD45DB527D3F7F554F3203422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222222222222222222222222222222222222222222222222222222222222200004404000014000000140000001400000014000000_TTranslucentLightingInjectPSLightType_DirectionaltruefalsefalseB9509843F62EEE75BB94BBD45DB527D3F7F554F3203422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222222222222222222222222222222222222222222222222222222222222200004404000014000000140000001400000014000000_TTranslucentLightingInjectPSLightType_DirectionalfalsetruefalseB9509843F62EEE75BB94BBD45DB527D3F7F554F3203422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222222222222222222222222222222222222222222222222222222222222200004404000014000000140000001400000014000000_TTranslucentLightingInjectPSLightType_DirectionaltruetruefalseB9509843F62EEE75BB94BBD45DB527D3F7F554F3203422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222222222222222222222222222222222222222222222222222222222222200004404000014000000140000001400000014000000_TTranslucentLightingInjectPSLightType_PointfalsefalsefalseB9509843F62EEE75BB94BBD45DB527D3F7F554F3203422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222222222222222222222222222222222222222222222222222222222222200004404000014000000140000001400000014000000_TTranslucentLightingInjectPSLightType_PointtruefalsefalseB9509843F62EEE75BB94BBD45DB527D3F7F554F3203422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222222222222222222222222222222222222222222222222222222222222200004404000014000000140000001400000014000000_TTranslucentLightingInjectPSLightType_PointfalsetruefalseB9509843F62EEE75BB94BBD45DB527D3F7F554F3203422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222222222222222222222222222222222222222222222222222222222222200004404000014000000140000001400000014000000_TTranslucentLightingInjectPSLightType_PointfalsefalsetrueB9509843F62EEE75BB94BBD45DB527D3F7F554F3203422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222222222222222222222222222222222222222222222222222222222222200004404000014000000140000001400000014000000_TTranslucentLightingInjectPSLightType_PointtruetruefalseB9509843F62EEE75BB94BBD45DB527D3F7F554F3203422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222222222222222222222222222222222222222222222222222222222222200004404000014000000140000001400000014000000_TTranslucentLightingInjectPSLightType_PointtruefalsetrueB9509843F62EEE75BB94BBD45DB527D3F7F554F3203422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222222222222222222222222222222222222222222222222222222222222200004404000014000000140000001400000014000000_TTranslucentLightingInjectPSLightType_PointfalsetruetrueB9509843F62EEE75BB94BBD45DB527D3F7F554F3203422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222222222222222222222222222222222222222222222222222222222222200004404000014000000140000001400000014000000_TTranslucentLightingInjectPSLightType_PointtruetruetrueB9509843F62EEE75BB94BBD45DB527D3F7F554F3203422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222222222222222222222222222222222222222222222222222222222222200004404000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_FEvaluateSurfelMaterialCS6258113C2EBBF117ED7778A8D1717F7C4F99C7B816742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222222222222222222222222220000440414000000140000001400000014000000_FConvertToUniformMeshVSE7DF727A12438F2D529D6604B0B1C022849CCFEB152422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022020040441400000014000000140000001400000014000000_FConvertToUniformMeshGSE7DF727A12438F2D529D6604B0B1C022849CCFEB152422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022020040441400000014000000140000001400000014000000_FLightHeightfieldsPS2DED4883A7D558209CA69BAF4C2D2295D5DF0F67178422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222222222222222222222222222222222220200404400000014000000140000001400000014000000_FLightFunctionVSB7214D900A9591693894E1EF8927514ED9045735158422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222222222222222020040440014000000140000001400000014000000_FLightFunctionPSB989EB19287533860778B4D21DB12F698F0333E02194224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222222222222222222222222222222222222242222222222222222222222222222222222222222200004404000014000000140000001400000014000000_FLocalVertexFactory5897CEF715AB93237703E35F9ABEBB43E8E477D34224200000000058300040404040404040404040434343444443434343404040404040404040404343434040404044040404040404040404040404343434444434343434040404040404040404043434340404016101010101000424244444444444444424141414341414141413131414141444341444044444444444444414141414141414141434143414141414141414141414131314444414241444444414101010004443414341414141444444434341434444444404444444444444444444444444444444444444444444444444444444444444444444444444404010101010101010101010101010101010101010101010101210443414341434241414142443131303434344414444444444444444414101010101010101010101010100031313141444444444104250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000025000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000000800000008000000080000000800000008000000080000004900000010000000090000000800000010000000100000001000000026000000180000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000800000008000000080000000800000008000000080000000D0000001C000000090000000900000009000000090000000900000009000000090000000800000008000000080000000800000008000000080000000800000008000000588A960D7F0F92998801A90EEC4054D18F421FA60000000000000000000000000000000000000000, ShaderCompilation=22866.593750, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdF9A947184456E9F09629E3A368C739B0_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_E7CF85B541335AC7C9B371920EEA9__7CB2A2032C3D9D20BC79559403F6A0783809BBB0, StartTime=2016.06.08-08.52.36, HierarchicalDDC=, DataSize=4155, Duration=6.315600, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionId96B3AE1E468305173E1D3CB42157FC47_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1E1226434AF00F877F2203A817C32F0C_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.08-08.52.36, Duration=2398.094971, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdD9F8FCA6401BD9A37486F6ACC8568DE1_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1E1226434AF00F877F2203A817C32__1BDC7F8EE5197640816AEE2675ABFD3D0CC8E937, StartTime=2016.06.08-08.52.38, HierarchicalDDC=, DataSize=2097417, Duration=14.252518, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionId385D48C2456548F39D20D3B29541BEAC_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1E1226434AF00F877F2203A817C32__0D70688267177645FEF4E48B1BA338C39D514800, StartTime=2016.06.08-08.52.38, HierarchicalDDC=, DataSize=524553, Duration=10.378324, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdF9A947184456E9F09629E3A368C739B0_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1E1226434AF00F877F2203A817C32__93B01A95AEF7DF8105365A50E13FF847ADDF5C6A, StartTime=2016.06.08-08.52.38, HierarchicalDDC=, DataSize=131335, Duration=9.931602, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdF9A947184456E9F09629E3A368C739B0_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1E1226434AF00F877F2203A817C32__C46FB8FAF13018499369BB5899D9C3748C5258B9, StartTime=2016.06.08-08.52.38, HierarchicalDDC=, DataSize=33031, Duration=9.017661, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionId385D48C2456548F39D20D3B29541BEAC_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1E1226434AF00F877F2203A817C32__35ECA4E3CA0F5E84C6D10DE75797FCA8AAF57525, StartTime=2016.06.08-08.52.38, HierarchicalDDC=, DataSize=8455, Duration=8.910693, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionIdD9F8FCA6401BD9A37486F6ACC8568DE1_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_1E1226434AF00F877F2203A817C32__B71F7465C9F47BA785486D99E70B354B625DC455, StartTime=2016.06.08-08.52.38, HierarchicalDDC=, DataSize=4749, Duration=10.550864, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
DDCTransactionId96B3AE1E468305173E1D3CB42157FC47_2, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_F5CA5504422262B3BFD5549636E9F4A4_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.06.08-08.52.38, Duration=639.021851, RunGuid=RunID97D4ECD54E5B925B56090CA06777B8D1
