CookerStat, GenerateAssetRegistry=0.039756, Initialize=0.217211, RunGuid=RunIDB498958E4FE4CD1C278ED58C1BF0D23F
DDCTransactionId9BCDB765401374FCD1929A8A6E2B56F4_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_62D18F6845E2D5162__F96AB9B77C2471759C74B5B6B310B0520D4758F2, StartTime=2016.04.05-01.05.04, HierarchicalDDC=, DataSize=2277, Duration=7.639359, RunGuid=RunIDB498958E4FE4CD1C278ED58C1BF0D23F
DDCTransactionId14F139AC4BB32C16F1716EAA0FDDD483_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_D1CFC5074A05EDDE9__1D959A3DC3B52AD83E2ADB7099397B7AD9216A37, StartTime=2016.04.05-01.05.04, HierarchicalDDC=, DataSize=401, Duration=6.923784, RunGuid=RunIDB498958E4FE4CD1C278ED58C1BF0D23F
DDCTransactionIdEE911C284FCA53740D2C4ABF607A817E_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_D59EF8E347687058D__4A2C8484BB902D6D2414469E84FA5406919BB6EE, StartTime=2016.04.05-01.05.04, HierarchicalDDC=, DataSize=401, Duration=9.374198, RunGuid=RunIDB498958E4FE4CD1C278ED58C1BF0D23F
DDCTransactionId9BCDB765401374FCD1929A8A6E2B56F4_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_179606464618AC1D3__3DD1D3A7AD07DB96C0C6A05A1A2D0F689038FC93, StartTime=2016.04.05-01.05.04, HierarchicalDDC=, DataSize=2597, Duration=6.565586, RunGuid=RunIDB498958E4FE4CD1C278ED58C1BF0D23F
DDCTransactionId14F139AC4BB32C16F1716EAA0FDDD483_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_692705AC46678BD0C__022636854C860AB251E54081B6C1E3AB983A891B, StartTime=2016.04.05-01.05.04, HierarchicalDDC=, DataSize=401, Duration=6.988536, RunGuid=RunIDB498958E4FE4CD1C278ED58C1BF0D23F
DDCTransactionIdEE911C284FCA53740D2C4ABF607A817E_1, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_9CAD5C3E4D8F3A0F2__1856C37B6F5231C9A05DCE470352BE86C7781535, StartTime=2016.04.05-01.05.04, HierarchicalDDC=, DataSize=1133, Duration=5.378287, RunGuid=RunIDB498958E4FE4CD1C278ED58C1BF0D23F
DDCTransactionId9BCDB765401374FCD1929A8A6E2B56F4_2, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_F0F48EFC441265C67__BA33301BF2968DDF2BD12507774B86E7AB0CDFDE, StartTime=2016.04.05-01.05.04, HierarchicalDDC=, DataSize=2205, Duration=5.133208, RunGuid=RunIDB498958E4FE4CD1C278ED58C1BF0D23F
