CookerStat, GenerateAssetRegistry=0.024591, Initialize=0.135656, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionIdEB94C9484C8DD182AE7FE1A90F8633D7_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9D6BEAFC4DA34E9D14671BA0E4E0B9D__D6049C475EB98C775EB8C51F0D5A4AD69FA5C8E1, StartTime=2016.05.19-14.15.14, HierarchicalDDC=, DataSize=2080, Duration=4.463129, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionIdEB94C9484C8DD182AE7FE1A90F8633D7_6, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_FB__DDB13C386B51A28778E91CFCEBBB119C784144F3, StartTime=2016.05.19-14.15.14, HierarchicalDDC=, DataSize=16277, Duration=5.178295, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionId4DD809D14E28D3AB5FCDAEA7AE1CA192_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_648A1BEB41300AC2683CB3BA1A51CC7__4A442BF12BA7BFEA08256E84A329C91CF9E3C644, StartTime=2016.05.19-14.15.14, HierarchicalDDC=, DataSize=4206, Duration=4.652474, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionId8D41F2D640AEFFAC3C6B02819E75C810_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CD87FBAA4DBD056350AB29BE76CF5E1__B534E668A676FEBA83421694DB3BD1DAC8AC35B9, StartTime=2016.05.19-14.15.14, HierarchicalDDC=, DataSize=4206, Duration=6.440598, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionIdEB94C9484C8DD182AE7FE1A90F8633D7_7, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_B3__B421774840A70025377345635DB5A0A4C3E8C315, StartTime=2016.05.19-14.15.14, HierarchicalDDC=, DataSize=7941, Duration=5.605757, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionId4DD809D14E28D3AB5FCDAEA7AE1CA192_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_ADB885B141E98C6477BD8EA0A281D6C__2992E8C7292DEF696D3832F826783E2C22942ACF, StartTime=2016.05.19-14.15.14, HierarchicalDDC=, DataSize=2867, Duration=5.252067, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionId8D41F2D640AEFFAC3C6B02819E75C810_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B1575F4F46BEFD1E68655093DCE041E__52086FA5B5F3BB3314296C52F229100F65994B06, StartTime=2016.05.19-14.15.14, HierarchicalDDC=, DataSize=2867, Duration=5.357396, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionIdEB94C9484C8DD182AE7FE1A90F8633D7_8, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_6A__3E53998C86B05E61D662446066FB4CFC235FA411, StartTime=2016.05.19-14.15.14, HierarchicalDDC=, DataSize=41641, Duration=6.249614, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionId4DD809D14E28D3AB5FCDAEA7AE1CA192_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_08183C4C414809A0A5ACB6BF376BB0C__734B1AF498A518FD8F3AB7599F77A2C248665972, StartTime=2016.05.19-14.15.14, HierarchicalDDC=, DataSize=14884, Duration=9.655364, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionId8D41F2D640AEFFAC3C6B02819E75C810_7, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_6A__CC22915397276D1DE03B008A685E22BBCC3F05CC, StartTime=2016.05.19-14.15.14, HierarchicalDDC=, DataSize=41641, Duration=4.481163, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionIdEB94C9484C8DD182AE7FE1A90F8633D7_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_516A9495479BC4766BDC41BF8E2D4FC__40EE055611927C8AA9C47C94CA54E0C680CA5A91, StartTime=2016.05.19-14.15.14, HierarchicalDDC=, DataSize=17350, Duration=5.169280, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionId4DD809D14E28D3AB5FCDAEA7AE1CA192_8, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_C8__1FBA1BED1DDBBDDB733C80675B2AE56C55A66C43, StartTime=2016.05.19-14.15.14, HierarchicalDDC=, DataSize=41641, Duration=6.850842, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionId8D41F2D640AEFFAC3C6B02819E75C810_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_07E32CFD4FBC255DA3D10E862067E55__C83335EF3C9134407B72F73B725F660ADF529BE3, StartTime=2016.05.19-14.15.14, HierarchicalDDC=, DataSize=13876, Duration=5.161084, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionIdEB94C9484C8DD182AE7FE1A90F8633D7_10, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_C8__23DADE3FE8D4CF287FED235B13ACDD2F51DC970B, StartTime=2016.05.19-14.15.14, HierarchicalDDC=, DataSize=41641, Duration=5.379118, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
DDCTransactionId8D41F2D640AEFFAC3C6B02819E75C810_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_501F5DCD4182C26AAF302E937A54EFA__A8EEAF5C856267073550B2B94D8841856BE2EC68, StartTime=2016.05.19-14.15.14, HierarchicalDDC=, DataSize=13876, Duration=6.602481, RunGuid=RunID38BFEC2B448064377ABF9586484EA8E6
